Machine Module,SMS3032XP,3.2.2.6.2R10
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
PreAmp State,OFF
Ref Level,+0.000000000E+00
Attenuation,20.000000,Auto
Sweep Time,44032.000000,Auto
Start Frequency,+1.000000000E+08
Stop Frequency,+3.000000000E+08
Average Type,Log Pwr
RBW,1000000.000000,Auto
VBW,1000000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Fixed,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
Marker X Axis,198133333.33333334,,,,,,,
Marker Ampt,-62.26877081,,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
244533333,-60.07
244800000,-61.31
245066667,-66.38
245333333,-64.22
245600000,-64.04
245866667,-56.61
246133333,-59.33
246400000,-58.18
246666667,-61.97
246933333,-58.68
247200000,-61.52
247466667,-69.34
247733333,-62.25
248000000,-61.59
248266667,-62.15
248533333,-59.92
248800000,-61.19
249066667,-60.33
249333333,-58.02
249600000,-60.13
249866667,-64.07
250133333,-63.08
250400000,-64.95
250666667,-59.30
250933333,-61.59
251200000,-62.16
251466667,-59.69
251733333,-62.74
252000000,-61.14
252266667,-63.78
252533333,-59.32
252800000,-63.66
253066667,-67.12
253333333,-63.22
253600000,-61.60
253866667,-61.66
254133333,-60.61
254400000,-61.20
254666667,-61.35
254933333,-59.75
255200000,-58.12
255466667,-62.26
255733333,-60.16
256000000,-62.98
256266667,-62.22
256533333,-60.06
256800000,-60.11
257066667,-63.52
257333333,-58.30
257600000,-62.50
257866667,-60.41
258133333,-58.86
258400000,-63.81
258666667,-64.63
258933333,-62.13
259200000,-58.01
259466667,-60.21
259733333,-60.70
260000000,-58.88
260266667,-62.38
260533333,-59.76
260800000,-67.10
261066667,-60.09
261333333,-62.19
261600000,-58.84
261866667,-63.63
262133333,-63.04
262400000,-63.25
262666667,-64.88
262933333,-59.91
263200000,-63.16
263466667,-61.07
263733333,-59.78
264000000,-67.57
264266667,-59.09
264533333,-60.91
264800000,-62.88
265066667,-58.68
265333333,-58.22
265600000,-60.56
265866667,-59.90
266133333,-64.16
266400000,-61.40
266666667,-60.22
266933333,-61.23
267200000,-63.56
267466667,-58.55
267733333,-60.05
268000000,-61.45
268266667,-59.27
268533333,-62.69
268800000,-60.25
269066667,-62.74
269333333,-60.78
269600000,-59.79
269866667,-59.44
270133333,-66.62
270400000,-59.64
270666667,-67.58
270933333,-64.12
271200000,-60.86
271466667,-60.91
271733333,-58.78
272000000,-60.62
272266667,-57.60
272533333,-62.54
272800000,-61.24
273066667,-62.69
273333333,-60.43
273600000,-61.68
273866667,-63.56
274133333,-61.87
274400000,-62.91
274666667,-64.82
274933333,-63.28
275200000,-60.29
275466667,-60.29
275733333,-60.47
276000000,-60.59
276266667,-63.37
276533333,-62.40
276800000,-60.86
277066667,-64.98
277333333,-65.70
277600000,-63.11
277866667,-63.70
278133333,-62.68
278400000,-60.03
278666667,-62.12
278933333,-64.93
279200000,-60.14
279466667,-59.70
279733333,-61.36
280000000,-62.06
280266667,-61.24
280533333,-64.68
280800000,-62.60
281066667,-61.86
281333333,-61.44
281600000,-61.88
281866667,-58.56
282133333,-66.64
282400000,-57.37
282666667,-60.86
282933333,-59.34
283200000,-60.32
283466667,-59.48
283733333,-57.85
284000000,-64.97
284266667,-61.99
284533333,-60.68
284800000,-59.81
285066667,-63.32
285333333,-59.11
285600000,-63.00
285866667,-62.42
286133333,-62.66
286400000,-63.44
286666667,-65.69
286933333,-62.12
287200000,-63.32
287466667,-61.87
287733333,-62.07
288000000,-61.55
288266667,-64.57
288533333,-63.78
288800000,-62.53
289066667,-64.56
289333333,-62.02
289600000,-58.97
289866667,-62.74
290133333,-61.70
290400000,-60.71
290666667,-61.98
290933333,-65.72
291200000,-60.38
291466667,-58.06
291733333,-60.20
292000000,-59.58
292266667,-62.92
292533333,-59.61
292800000,-58.37
293066667,-62.38
293333333,-58.92
293600000,-64.71
293866667,-60.14
294133333,-64.18
294400000,-61.81
