
Run     SWR     Gain    F/B     F/R     R-a     X-a     Eff.    %Res.   %Stp  Lr      Ld      L1      L2      L3      L4      L5      

8       7.6805  8.84    11.81   9.92    19.907  -69.84  99.99   -7e-3	0.1  	0.2417  0.5656  0.5905  0.4892  0.5225  0.4876  0.4878  -0.18   0.1995  0.42    0.713   1.0619  1.4365  
8       7.6849  8.84    11.84   9.93    19.903  -69.86  99.99   3.e-3	0.1  	0.2417  0.5656  0.5905  0.4892  0.5225  0.4871  0.4883  -0.18   0.1995  0.42    0.713   1.0619  1.4365  
8       7.6819  8.84    11.83   9.93    19.907  -69.85  99.99   2.e-5	0.1  	0.2417  0.5656  0.5905  0.4892  0.5225  0.4871  0.4878  -0.18   0.1995  0.42    0.713   1.0619  1.4365  
8       7.6761  8.84    11.81   9.93    19.915  -69.83  99.99   -6e-3	0.1  	0.2417  0.5656  0.5905  0.4892  0.5225  0.4871  0.4878  -0.18   0.1997  0.42    0.713   1.0619  1.4365  
8       7.6805  8.83    11.82   9.92    19.915  -69.86  99.99   -7e-3	0.1  	0.2417  0.5656  0.5905  0.4892  0.5225  0.4871  0.4878  -0.18   0.1995  0.4204  0.713   1.0619  1.4365  
8       7.6902  8.84    11.84   9.92    19.881  -69.85  99.99   2.e-3	0.1  	0.2417  0.5656  0.5905  0.4892  0.5225  0.4871  0.4878  -0.18   0.1995  0.42    0.7137  1.0619  1.4365  
8       7.6749  8.83    11.8    9.92    19.928  -69.86  99.99   -0.01	0.1  	0.2417  0.5656  0.5905  0.4892  0.5225  0.4871  0.4878  -0.18   0.1995  0.42    0.713   1.063   1.4365  
8       7.6897  8.84    11.85   9.93    19.884  -69.85  99.99   6.e-3	0.1  	0.2417  0.5656  0.5905  0.4892  0.5225  0.4871  0.4878  -0.18   0.1995  0.42    0.713   1.0619  1.438   
8-1                                                                           -8.e-3  1.9956  0.7044  -1.056  1.6253  -1.173  0.5324  3.4e-3  -1.055  -1.189  0.3901  -2.256  1.0121  

8-2     6.5758  9.39    15.57   11.08   17.907  -56.6   99.99   1.731	2    	0.2416  0.5882  0.5988  0.4789  0.5395  0.4757  0.493   -0.18   0.1953  0.41    0.7186  1.014   1.4656  
8-3     5.5401  9.82    12.53   11.25   15.324  -40.6   99.99   -0.74	2    	0.2416  0.6117  0.6073  0.4687  0.557   0.4645  0.4982  -0.18   0.1912  0.4002  0.7242  0.9683  1.4953  
9       5.5402  9.82    12.53   11.25   15.324  -40.6   99.99   -2e-5	0.1  	0.2418  0.6117  0.6073  0.4687  0.557   0.4645  0.4982  -0.18   0.1912  0.4002  0.7242  0.9683  1.4953  
9       5.4776  9.82    12.54   11.25   15.387  -40.22  99.99   0.013	0.1  	0.2416  0.6123  0.6073  0.4687  0.557   0.4645  0.4982  -0.18   0.1912  0.4002  0.7242  0.9683  1.4953  
9       5.5693  9.83    12.26   11.29   15.163  -40.36  99.99   -0.1 	0.1  	0.2416  0.6117  0.6079  0.4687  0.557   0.4645  0.4982  -0.18   0.1912  0.4002  0.7242  0.9683  1.4953  
9       5.536   9.82    12.52   11.25   15.332  -40.59  99.99   -3e-3	0.1  	0.2416  0.6117  0.6073  0.4692  0.557   0.4645  0.4982  -0.18   0.1912  0.4002  0.7242  0.9683  1.4953  
9       5.5543  9.83    12.51   11.25   15.285  -40.6   99.99   -6e-3	0.1  	0.2416  0.6117  0.6073  0.4687  0.5576  0.4645  0.4982  -0.18   0.1912  0.4002  0.7242  0.9683  1.4953  
9       5.539   9.82    12.51   11.25   15.323  -40.59  99.99   -7e-3	0.1  	0.2416  0.6117  0.6073  0.4687  0.557   0.465   0.4982  -0.18   0.1912  0.4002  0.7242  0.9683  1.4953  
9       5.544   9.82    12.52   11.24   15.313  -40.6   99.99   -4e-3	0.1  	0.2416  0.6117  0.6073  0.4687  0.557   0.4645  0.4987  -0.18   0.1912  0.4002  0.7242  0.9683  1.4953  
9       5.5401  9.82    12.53   11.25   15.324  -40.6   99.99   9.e-6	0.1  	0.2416  0.6117  0.6073  0.4687  0.557   0.4645  0.4982  -0.18   0.1912  0.4002  0.7242  0.9683  1.4953  
9       5.5332  9.82    12.51   11.25   15.334  -40.57  99.99   -6e-3	0.1  	0.2416  0.6117  0.6073  0.4687  0.557   0.4645  0.4982  -0.18   0.1914  0.4002  0.7242  0.9683  1.4953  
9       5.5398  9.82    12.54   11.25   15.328  -40.61  99.99   4.e-3	0.1  	0.2416  0.6117  0.6073  0.4687  0.557   0.4645  0.4982  -0.18   0.1912  0.4006  0.7242  0.9683  1.4953  
9       5.5439  9.82    12.48   11.26   15.303  -40.57  99.99   -0.02	0.1  	0.2416  0.6117  0.6073  0.4687  0.557   0.4645  0.4982  -0.18   0.1912  0.4002  0.7249  0.9683  1.4953  
9       5.5352  9.82    12.54   11.26   15.339  -40.6   99.99   4.e-3	0.1  	0.2416  0.6117  0.6073  0.4687  0.557   0.4645  0.4982  -0.18   0.1912  0.4002  0.7242  0.9692  1.4953  
9       5.5399  9.82    12.48   11.24   15.317  -40.58  99.99   -0.02	0.1  	0.2416  0.6117  0.6073  0.4687  0.557   0.4645  0.4982  -0.18   0.1912  0.4002  0.7242  0.9683  1.4968  
9-1                                                                           -1.e-3  0.966   -6.996  -0.21   -0.41   -0.501  -0.301  6.5e-4  -0.435  0.2604  -1.325  0.3128  -1.281  

9-2     2.3669  6.91    7.59    4.71    45.486  -42.13  99.99   -2.32	2    	0.2416  0.6235  0.5223  0.4668  0.5525  0.4599  0.4952  -0.18   0.1895  0.4023  0.705   0.9743  1.457   
10      5.5402  9.82    12.53   11.25   15.324  -40.6   99.99   -2e-5	0.1  	0.2418  0.6117  0.6073  0.4687  0.557   0.4645  0.4982  -0.18   0.1912  0.4002  0.7242  0.9683  1.4953  
10      5.4776  9.82    12.54   11.25   15.387  -40.22  99.99   0.013	0.1  	0.2416  0.6123  0.6073  0.4687  0.557   0.4645  0.4982  -0.18   0.1912  0.4002  0.7242  0.9683  1.4953  
10      5.5693  9.83    12.26   11.29   15.163  -40.36  99.99   -0.1 	0.1  	0.2416  0.6117  0.6079  0.4687  0.557   0.4645  0.4982  -0.18   0.1912  0.4002  0.7242  0.9683  1.4953  
10      5.536   9.82    12.52   11.25   15.332  -40.59  99.99   -3e-3	0.1  	0.2416  0.6117  0.6073  0.4692  0.557   0.4645  0.4982  -0.18   0.1912  0.4002  0.7242  0.9683  1.4953  
10      5.5543  9.83    12.51   11.25   15.285  -40.6   99.99   -6e-3	0.1  	0.2416  0.6117  0.6073  0.4687  0.5576  0.4645  0.4982  -0.18   0.1912  0.4002  0.7242  0.9683  1.4953  
10      5.539   9.82    12.51   11.25   15.323  -40.59  99.99   -7e-3	0.1  	0.2416  0.6117  0.6073  0.4687  0.557   0.465   0.4982  -0.18   0.1912  0.4002  0.7242  0.9683  1.4953  
10      5.544   9.82    12.52   11.24   15.313  -40.6   99.99   -4e-3	0.1  	0.2416  0.6117  0.6073  0.4687  0.557   0.4645  0.4987  -0.18   0.1912  0.4002  0.7242  0.9683  1.4953  
10      5.5401  9.82    12.53   11.25   15.324  -40.6   99.99   9.e-6	0.1  	0.2416  0.6117  0.6073  0.4687  0.557   0.4645  0.4982  -0.18   0.1912  0.4002  0.7242  0.9683  1.4953  
10      5.5332  9.82    12.51   11.25   15.334  -40.57  99.99   -6e-3	0.1  	0.2416  0.6117  0.6073  0.4687  0.557   0.4645  0.4982  -0.18   0.1914  0.4002  0.7242  0.9683  1.4953  
10      5.5398  9.82    12.54   11.25   15.328  -40.61  99.99   4.e-3	0.1  	0.2416  0.6117  0.6073  0.4687  0.557   0.4645  0.4982  -0.18   0.1912  0.4006  0.7242  0.9683  1.4953  
10      5.5439  9.82    12.48   11.26   15.303  -40.57  99.99   -0.02	0.1  	0.2416  0.6117  0.6073  0.4687  0.557   0.4645  0.4982  -0.18   0.1912  0.4002  0.7249  0.9683  1.4953  
10      5.5352  9.82    12.54   11.26   15.339  -40.6   99.99   4.e-3	0.1  	0.2416  0.6117  0.6073  0.4687  0.557   0.4645  0.4982  -0.18   0.1912  0.4002  0.7242  0.9692  1.4953  
10      5.5399  9.82    12.48   11.24   15.317  -40.58  99.99   -0.02	0.1  	0.2416  0.6117  0.6073  0.4687  0.557   0.4645  0.4982  -0.18   0.1912  0.4002  0.7242  0.9683  1.4968  
10-1                                                                          -1.e-3  0.966   -6.996  -0.21   -0.41   -0.501  -0.301  6.5e-4  -0.435  0.2604  -1.325  0.3128  -1.281  

10-2    4.4452  9.25    24.48   9.58    21.345  -45.04  99.99   4.248	0.4  	0.2416  0.614   0.5903  0.4684  0.5561  0.4636  0.4976  -0.18   0.1909  0.4006  0.7203  0.9695  1.4876  
